Data,Balanço de pagamentos - ativos de reserva - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG_AR,
1995,12918.9,
1996,8666.1,
1997,-7907.1591269365,
1998,-7970.20738815882,
1999,-7822.03999580361,
2000,-2261.65435073782,
2001,3306.60048444859,
2002,302.087224830744,
2003,8495.65049380393,
2004,2244.02983459396,
2005,4319.46387155156,
2006,30569.1174163845,
2007,87484.2456816672,
2008,2969.07206805002,
2009,46650.9878,
2010,49100.50358667,
2011,58636.80721083,
2012,18899.55235759,
2013,-5926.48715108,
2014,10832.65727585,
2015,1568.77209929,
2016,9237.43606414,
2017,5092.86866228,
2018,2927.67462615,
2019,-26055.45978301,
2020,-14231.82277794,
2021,13966.69329882,
