"sigla_unidade_ensino","nome_unidade_ensino","dt_autorizacao","sigla_uf_unidade_ensino","nome_municipio_unidade_ensino"
"null","ASSOCIAÇÃO TÉCNICO EDUCACIONAL EQUIPE ","03/02/2015 17:31:40","RS","Sapucaia do Sul"
"null","CEFET DO MARANHAO","14/02/2014 19:44:56","MA","Tutóia"
"null","CEFET MG CAMPUS II","23/06/2010 14:27:47","MG","Belo Horizonte"
"null","CEFET-MG/campusV/Divinópolis","06/04/2009 08:07:15","MG","Divinópolis"
"null","CEFET - MG UNED contagem","21/03/2012 16:58:14","MG","Contagem"
"null","CEFET - MG UNED contagem","21/03/2012 16:58:30","MG","Contagem"
"null","CEFET- MINAS Campus Contagem","21/03/2012 16:15:01","MG","Contagem"
"null","CEMAB","05/07/2013 18:18:53","DF","Brasília"
"null","CENTRO DE EDUCAÇÃO TECNOLÓGICA E PESQUISA EM SAÚDE- CETPS-ESCOLA GHC","26/12/2017 11:47:37","RS","Porto Alegre"
"null","CENTRO DE ENSINO TÉCNICO IPIRANGA","27/01/2014 12:47:34","SP","Mogi das Cruzes"
"null","CENTRO DE INCLUSÃO DIGITAL E APRENDIZAGEM PROFFISSIONAL-CIDAP","19/05/2011 11:44:14","SP","Carapicuíba"
"null","CENTRO DE REFERENCIA DO IFSUL","24/01/2018 12:49:17","RS","Pelotas"
"null","CENTRO DE REFERÊNCIA EM EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA DE CABEDELO","31/01/2014 13:19:44","PB","João Pessoa"
"null","CENTRO DE REFERÊNCIA EM EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA DE ITAPORANGA","31/01/2014 12:57:21","PB","João Pessoa"
"null","CENTRO DE REFERÊNCIA EM EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA DE santa rita","31/01/2014 13:25:05","PB","João Pessoa"
"null","CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL AGRICOLA DA LAPA","06/05/2009 09:18:42","PR","Lapa"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Angra dos Reis","08/06/2011 16:04:11","RJ","Angra dos Reis"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Itaguaí","08/06/2011 11:56:18","RJ","Itaguaí"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Maria da Graça","17/03/2009 17:00:09","RJ","Rio de Janeiro"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Nova Friburgo","20/05/2009 10:06:36","RJ","Nova Friburgo"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Nova Iguaçu","17/03/2009 16:53:59","RJ","Nova Iguaçu"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Petrópolis","20/05/2009 10:04:21","RJ","Petrópolis"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Uned Valença","08/06/2011 12:00:27","RJ","Valença"
"CEFET-RJ","Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - Unidade Maracanã","13/03/2009 10:34:20","RJ","Rio de Janeiro"
"null","centro federal de educação tecnologica de campos","12/11/2008 18:08:52","RJ","Campos dos Goytacazes"
"null","CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE CUIABÁ","17/02/2009 18:45:00","MT","Cuiabá"
"null","centro federal de educação tecnologica de minas gerais","01/12/2008 20:03:31","MG","Divinópolis"
"null","CENTRO FEDERAL DE EDUCAÇÃO TÉCNOLOGICA DE MINAS GERAIS CAMPOS TIMÓTEO","21/11/2008 09:17:36","MG","Timóteo"
"null","CENTRO FEDERAL DE EDUCAÇÃO TÉCNOLOGICA DE MINAS GERAIS CAMPOS TIMÓTEO","21/11/2008 09:17:30","MG","Timóteo"
